# x y error_dist error_ang_rad delta_f_rad delta_r_rad omega_rads
-3.303983057246299149e-01 -4.296535506437845209e-01 7.849571815363088900e-01 -2.230488085721901381e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.337046509496436997e+00
-3.374081495220842553e-01 -4.475764451007730460e-01 8.007117793474246570e-01 -2.212626791728207198e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.383952542957938903e+00
-3.480692712770881436e-01 -4.693394596309920508e-01 8.218056529463574345e-01 -2.177870154013279880e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.446755157961295613e+00
-3.561747081384003533e-01 -4.827881532101463979e-01 8.361644308147325733e-01 -2.156128982948225747e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.489505428278261601e+00
-3.674379052316267824e-01 -5.040361843207618042e-01 8.576973699115547634e-01 -2.123478221758400952e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.765982761392599465e-01 -5.192758511528630105e-01 8.740924683755557645e-01 -2.099630908182515743e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-3.889437509289175865e-01 -5.435332524526053088e-01 8.985165334487087430e-01 -2.073905520690984883e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-4.014078478631357139e-01 -5.649587492799162947e-01 9.214514583483942589e-01 -2.044289484351948349e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-4.099404392639806050e-01 -5.787780715892240080e-01 9.366822651588606607e-01 -2.018253855499344773e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-4.208880700937595032e-01 -5.952272380211689473e-01 9.554737838324839361e-01 -1.996264247000282488e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-4.398557930870335975e-01 -6.274553880554293306e-01 9.904788671533528710e-01 -1.973878114015144902e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-4.499206073898599501e-01 -6.426624273781306185e-01 1.007914426941024733e+00 -1.955931430375718039e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-4.688394260181469875e-01 -6.726149679000781312e-01 1.041645041657560222e+00 -1.932017120474841754e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-4.809368694367058827e-01 -6.905979372535552274e-01 1.062510821080000500e+00 -1.914574872638855396e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-5.011779985565536499e-01 -7.213331621949304884e-01 1.097917608601395312e+00 -1.892368801592398286e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-5.143087264319879948e-01 -7.379885520901166007e-01 1.118766238533613233e+00 -1.869577519927909215e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-5.354185126568901110e-01 -7.646083783106537579e-01 1.152207562074562208e+00 -1.842312550668427473e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-5.444717339465637851e-01 -7.774127578118745774e-01 1.167482626457325701e+00 -1.838484118916222876e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-5.681032174043496585e-01 -8.048015267149817298e-01 1.203359957184733764e+00 -1.808478632483545567e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-5.827949302085634331e-01 -8.226585787025564311e-01 1.226230027063108574e+00 -1.788626746551492230e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-6.100595757142934783e-01 -8.561354927783977331e-01 1.268924411529837037e+00 -1.765551381925611896e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-6.247888763824793745e-01 -8.711336128824502811e-01 1.289915710787292280e+00 -1.738432106888589068e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-6.515131435712022689e-01 -8.979885902437736434e-01 1.327762439783135129e+00 -1.699342479185703025e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-6.743943393054159241e-01 -9.240083386637134577e-01 1.362219574281647860e+00 -1.690303542790770219e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-7.062124533484042122e-01 -9.566959375766930229e-01 1.407773190718873968e+00 -1.671893296552636965e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-7.151598259409113201e-01 -9.641234975093871951e-01 1.419384756666590475e+00 -1.659865167017753329e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-7.373780481288744193e-01 -9.890075921493031164e-01 1.452596865942948900e+00 -1.660024392869245968e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-7.704944214934168478e-01 -1.023369073184855704e+00 1.500249374137440306e+00 -1.647461252225324468e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-7.897579332498008142e-01 -1.037659147577971064e+00 1.524085503951438936e+00 -1.624070317644443984e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-8.078988627647551990e-01 -1.053547061266565610e+00 1.548189795882305209e+00 -1.613237519092240335e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-8.280103425221285729e-01 -1.068940906624759712e+00 1.573403787363599982e+00 -1.591356575430812770e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-8.640033306018766179e-01 -1.102593922290709960e+00 1.622678164807396239e+00 -1.588005861486111669e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-8.987909599665697691e-01 -1.135433545210292827e+00 1.670515576376226718e+00 -1.584879495245955283e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-9.220681575798668206e-01 -1.156111850177982570e+00 1.701644351246720976e+00 -1.579474845411320771e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-9.453960732290950242e-01 -1.174622484645559961e+00 1.731339214208401867e+00 -1.566965933685437129e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-9.781397963765758874e-01 -1.202637033257796695e+00 1.774401507240015219e+00 -1.557973815748191715e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-9.997095992920022045e-01 -1.219070887448552076e+00 1.801401378738797909e+00 -1.536908651910627199e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.020938023808469985e+00 -1.234473004335557400e+00 1.827455970353535131e+00 -1.510707262421057795e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.061593206869800188e+00 -1.262004165042096560e+00 1.876044309118837017e+00 -1.491589443278753313e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.089017621765135502e+00 -1.283259839656743173e+00 1.910636705102457311e+00 -1.492558628155066458e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.125274440252074237e+00 -1.306891315905431838e+00 1.953382405481519424e+00 -1.465984422639019069e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.148709140551698482e+00 -1.321336156663162287e+00 1.980470036919705468e+00 -1.460458867097628843e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.172042351408885130e+00 -1.334341834306280061e+00 2.006536582814759218e+00 -1.447204256941392764e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.211580622897206583e+00 -1.360018064268672111e+00 2.053152528870535676e+00 -1.437368508203469286e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.236706406476320907e+00 -1.375182434254682784e+00 2.082027066150447414e+00 -1.426111589112425193e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.268092690340003603e+00 -1.395676612939740213e+00 2.119135834498044435e+00 -1.428272371875768831e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.311135960566661929e+00 -1.422788182395965162e+00 2.169395772022701951e+00 -1.429173607244037969e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.341354755487508044e+00 -1.442211456241967449e+00 2.204952490284413980e+00 -1.431163847689133739e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.366832359995641788e+00 -1.457067346682932030e+00 2.233947942214624227e+00 -1.418564779932545150e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.404788607779343224e+00 -1.474672209772328157e+00 2.274230500169265756e+00 -1.397380430361653270e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.432329013738942836e+00 -1.490280994756888244e+00 2.305325275801572538e+00 -1.396391365649156224e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.472946629880935276e+00 -1.511503954887221113e+00 2.350055861159156656e+00 -1.380926503568031372e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.501004189695842594e+00 -1.524723241598012757e+00 2.380055548884045358e+00 -1.371815876844755255e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.545484593460507927e+00 -1.548479400677525764e+00 2.429450428536232387e+00 -1.374063095473617491e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.576834112101606511e+00 -1.565105452139234243e+00 2.464214347454904530e+00 -1.375975362201274255e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.616624035063013665e+00 -1.583880549427021389e+00 2.506896004665446487e+00 -1.356913762145760316e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.645669771882674937e+00 -1.597249114907392631e+00 2.537869005726141491e+00 -1.354412108388830305e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.677125059840690158e+00 -1.612865556456557270e+00 2.572153058331613007e+00 -1.356631425566893645e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.726596300395562888e+00 -1.637196760114151939e+00 2.625974742973897325e+00 -1.359664011608241463e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.753098264526339323e+00 -1.649126187864337956e+00 2.654142695598856072e+00 -1.346869146364616743e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.784198006728085151e+00 -1.663263215804275941e+00 2.687307170384356514e+00 -1.343712757459675888e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.826047572614133419e+00 -1.679509268776040676e+00 2.730264497413324332e+00 -1.329247126132702572e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.858523688827649956e+00 -1.693444080127950002e+00 2.764455669956753070e+00 -1.330618159025536151e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
-1.899222420285714419e+00 -1.708669283481560441e+00 2.805980627540505257e+00 -1.307630015693843850e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.500000000000000000e+00
