x y error lookahead integral_lateral
-3.218756521343220101e-01 -2.016687830253044988e-01 3.798344816940695257e-01 1.819751722541104177e-01 0.000000000000000000e+00
-3.217955674558300450e-01 -2.016701168887556350e-01 3.797673278207908676e-01 1.819650991731186218e-01 0.000000000000000000e+00
-3.217039006035379289e-01 -2.016724529411607625e-01 3.796908978877893692e-01 1.819536346831683860e-01 0.000000000000000000e+00
-3.215881187341267933e-01 -2.016750761709987794e-01 3.795941970835868817e-01 1.819391295625380212e-01 0.000000000000000000e+00
-3.215309853049170830e-01 -2.016771213443716015e-01 3.795468821962620365e-01 1.819320323294393027e-01 0.000000000000000000e+00
-3.214358765149334940e-01 -2.016779148421845580e-01 3.794667364157430778e-01 1.819200104623614478e-01 0.000000000000000000e+00
-3.213924511682335616e-01 -2.016795178844942305e-01 3.794308047616158364e-01 1.819146207142423588e-01 0.000000000000000000e+00
-3.213135150486530200e-01 -2.016809266106194820e-01 3.793646940760816988e-01 1.819047041114122409e-01 0.000000000000000000e+00
-3.212226543623022401e-01 -2.016832438312461950e-01 3.792889723124797108e-01 1.818933458468719455e-01 0.000000000000000000e+00
-3.211148590109743628e-01 -2.016855007702783031e-01 3.791988843583217750e-01 1.818798326537482690e-01 0.000000000000000000e+00
-3.210530133524386320e-01 -2.016857006645329520e-01 3.791466197069739419e-01 1.818719929560460857e-01 0.000000000000000000e+00
-3.210087890101015473e-01 -2.016878736807038441e-01 3.791103282839646260e-01 1.818665492425946828e-01 0.000000000000000000e+00
-3.209308657338937332e-01 -2.016887006716677200e-01 3.790447896480468870e-01 1.818567184472070219e-01 0.000000000000000000e+00
-3.208740421436900858e-01 -2.016894484679432886e-01 3.789970772247904240e-01 1.818495615837185664e-01 0.000000000000000000e+00
-3.207908625353287357e-01 -2.016915779543382858e-01 3.789277900918209263e-01 1.818391685137731306e-01 0.000000000000000000e+00
-3.207149878464014559e-01 -2.016913014107423185e-01 3.788634113952894511e-01 1.818295117092934010e-01 0.000000000000000000e+00
-3.205943116719030539e-01 -2.016959053698915150e-01 3.787637138366893863e-01 1.818145570755033968e-01 0.000000000000000000e+00
-3.205328771515544295e-01 -2.016969351309120251e-01 3.787122640953905495e-01 1.818068396143085741e-01 0.000000000000000000e+00
-3.204497960133725343e-01 -2.016978379238022479e-01 3.786424297251279603e-01 1.817963644587691774e-01 0.000000000000000000e+00
-3.203948503302804784e-01 -2.016997217676705367e-01 3.785969332671865750e-01 1.817895399900779918e-01 0.000000000000000000e+00
-3.203033797910581071e-01 -2.017005111903114600e-01 3.785199483778995955e-01 1.817779922566849504e-01 0.000000000000000000e+00
-3.202444846186044414e-01 -2.017022970214155664e-01 3.784710643528127472e-01 1.817706596529219121e-01 0.000000000000000000e+00
-3.201162908477117597e-01 -2.017044160224246707e-01 3.783637285853972410e-01 1.817545592878095917e-01 0.000000000000000000e+00
-3.200338323888039516e-01 -2.017074582959917373e-01 3.782955889323774690e-01 1.817443383398566203e-01 0.000000000000000000e+00
-3.199622291222720682e-01 -2.017091645348995099e-01 3.782359252136958117e-01 1.817353887820543634e-01 0.000000000000000000e+00
-3.199042932221514701e-01 -2.017100698294453376e-01 3.781873994365280156e-01 1.817281099154791912e-01 0.000000000000000000e+00
-3.198198262228011401e-01 -2.017105970735725839e-01 3.781162337389917805e-01 1.817174350608487532e-01 0.000000000000000000e+00
-3.197651966318642014e-01 -2.017115137080751630e-01 3.780705168872835475e-01 1.817105775330925266e-01 0.000000000000000000e+00
-3.196873745859306615e-01 -2.017131568375828410e-01 3.780055755025690800e-01 1.817008363253853620e-01 0.000000000000000000e+00
-3.196343701840249074e-01 -2.017142583148060497e-01 3.779613374545477966e-01 1.816942006181821723e-01 0.000000000000000000e+00
-3.195312601403583197e-01 -2.017156503092452091e-01 3.778748864195224932e-01 1.816812329629283740e-01 0.000000000000000000e+00
-3.194680300502412695e-01 -2.017160459587980514e-01 3.778216317542363867e-01 1.816732447631354552e-01 0.000000000000000000e+00
-3.193758291900876123e-01 -2.017183761344693571e-01 3.777449186172903151e-01 1.816617377925935362e-01 0.000000000000000000e+00
-3.193209879200018531e-01 -2.017196925964507281e-01 3.776992556352375963e-01 1.816548883452856478e-01 0.000000000000000000e+00
-3.192586789233312627e-01 -2.017198540448802979e-01 3.776466649975324663e-01 1.816469997496298616e-01 0.000000000000000000e+00
-3.191854423385807049e-01 -2.017218587516292350e-01 3.775858245473308061e-01 1.816378736820996043e-01 0.000000000000000000e+00
-3.191327417998317539e-01 -2.017224843450249328e-01 3.775416103941483525e-01 1.816312415591222473e-01 0.000000000000000000e+00
-3.190487405718986924e-01 -2.017234075713146280e-01 3.774711009106491155e-01 1.816206651365973590e-01 0.000000000000000000e+00
-3.189928851101865859e-01 -2.017247500932418669e-01 3.774246090957790178e-01 1.816136913643668360e-01 0.000000000000000000e+00
-3.189123804026019471e-01 -2.017255589824097917e-01 3.773570027451717546e-01 1.816035504117757549e-01 0.000000000000000000e+00
-3.188571879259756159e-01 -2.017267265580334756e-01 3.773109838049782394e-01 1.815966475707467276e-01 0.000000000000000000e+00
-3.187664396758565499e-01 -2.017274885990218980e-01 3.772347050843678495e-01 1.815852057626551885e-01 0.000000000000000000e+00
-3.187180289748804407e-01 -2.017281375212484074e-01 3.771941455821185563e-01 1.815791218373177807e-01 0.000000000000000000e+00
